headline,label
"Raphinha shares post on Instagram: ""Argentina supporters treat Messi like a God. Portugal supporters treat Ronaldo like a King. Brazil supporters yearn for Neymar to fracture his leg.""",1
"Ronaldo to Diogo Costa: ""Diogo, you have to react. You have to laugh. We won. Did you concede the goal?"" Diogo:"" no, but it was close."" Ronaldo:"" So? You have to laugh, we won. One more victory and we go through. You can laugh. C'mon""",1
"[Simon Stone] Ronaldo: ""“Following conversations with Manchester United we have mutually agreed to end our contract early. I love Manchester United and I love the fans, that will never ever change. However, it feels like the right time for me to seek a new challenge.""",1
"Cristiano Ronaldo: ""It's important we won. Chapter [at United] closed after week. This was a beautiful moment [scoring at] my 5th World Cup. It was an important win. The first match was crucial but also the world record, this is something that makes me proud. I'm happy with result after tough game.""",1
"Luis Enrique on Instagram: ""Today is a special day. Not only because we play Germany, but also because my daughter Xana would be turning 13 years old. My love, wherever you are, we love you.""",1
[Mohammed Kudus on Twitter] My Family & Culture raised me to respect the elderly. Neymar like Thiago & many legends inspired us to dream. Just like Neymar I humbly want to inspire the next generation like they did. @guardian_sport whats the agenda ? Al focus on tomorrow. FAKE NEWS!!!!!!,1
"[Adam Newson] Talks over Thiago Silva’s future at Chelsea are expected after the World Cup. Importantly, he feels he has reached his peak level. “I am now enjoying the best version of Thiago Silva. I think now, at my age, I am living the best moments of my career.”",1
"Mourinho: ""To be honest, Japan win over Germany was not a crazy surprise. Japan is a good team... The mentality can also make the difference, in European football there is a big focus on the individual. I coached Asian players, I coached the best Asian player, the mentality is special.""",1
"[George Addo Jr] Otto Addo “The referee gave a penalty which was not a penalty. Everyone saw that. Why? Because it’s Ronaldo or something?” “If somebody scores a goal, congratulations. But this was really a gift. A special gift from the referee.”",1
"[Kosovo Federation] FFK strongly condemns the aggressive action against the Republic of Kosovo shown by Serbia in the ""Qatar 2022"". The World Cup is an event of joy and unity and should send messages of hope and peace, not messages of hatred. We call @FIFAcom to take action against such actions.",1
"[via Ben Jacobs] Belgium captain Eden Hazard on Germany's protest before losing to Japan: ""They'd have done better not to do it and to win instead. We are here to play football. I'm not here to send a political message. Other people are better placed for that. We want to be focused on football.""",1
"OTD in 1992 Eric Cantona signed for Manchester United. Thirty years on, Manchester United's love for him is as strong as ever",1
"[Miguel Delaney] Southgate: ""We weren't able to open up to create really good chances but we had to show another side of ourselves. To be a successful side in a tournament you've got to have those qualities.""",1
Mikey Moore (England U16) scores two brilliant solo goals to give England a last-minute 2-1 win over Germany,1
"Andrea Pirlo: “I got along very well with Cristiano Ronaldo. He’s an interesting character, a real professional. I think it’s important to find the right balance and be empathetic with him.”",1
Argentina players in the Locker Room celebrating the win against Mexico,1
