headline,label
"TUNxAUS, full match: Australia gained its first World Cup win since 2010 by stunning African giant Tunisia with a header from Mitchell Duke, and now Tunisia's chance to progress has become slim while Australia can hope for the best against Denmark.",1
"Serbia beat Brazil 2-1 in the final of U-20 World Cup in New Zealand. Many talents of Serbia are now playing the 2022 FIFA World Cup, where they can hope to use this glorious youth past as an inspiration.",1
"BELxMAR, full match: a brilliant freekick from Abdelhamid Sabiri and a close strike by Zakaria Aboukhlal gave Morocco a famous shock win over Belgium, giving Morocco a great hope to progress for the first time since 1986 while Belgium must battle Croatia to survive with all cost.",1
"Since rainbow flags are not allowed in the stadiums it would be great if a group of friends that are attending a match wear shirts of different colors, as standing next to each other it will look like a rainbow 🌈 while respecting the rules... Just saying 🙂",1
"Nice save Germany, you better win Costa Rica",1
"BRAxSRB, full match: Serbia is no Japan or Saudi Arabia, but Brazil is no Argentina or Germany. Richarlison's double, including an incredible volley, gave Brazil's relief by a 2-0 win against brave Serbia as Brazil prepares against unpredictable Switzerland and Cameroon.",1
For those who love football like me! (:,1
"ARGxMEX, full match: Messi's brilliant moment in the second half gave Argentina's relief as the tango dance of Argentina triumphed over Mexican mariachi 2-0, though neither aren't guaranteed of being eliminated or progressed until the final matchday.",1
The six-pointed star Seal of Solomon has been mythologically respected as the symbol of divine and wisdom. Will Brazil be destined to make the first football's Seal of Solomon?,1
"WALxIRN, full match: Wales' self-destruction brought Iran the famous win as Iran won the first-ever World Cup game against a European representative. For Wales, the upcoming meeting against neighbouring England will be a serious nightmare, whilst Iran will try to make its first group stage progress.",1
"All the cards that were made so far. I included the best players from first round, and added some iconic moments as well. If you think, someone got left out, feel free to comment and suggest. Panini owns their logo.",1
Brazil Best Goal For Fifa 2022 World Cup- Brazil Best Goal By Richarliso...,1
"The magic man. Best goals I've seen this season, especially the one by Fernández. Funking beauty.",1
Love the U.S but we are taking the Win 🏴󠁧󠁢󠁥󠁮󠁧󠁿,1
Who would win if a top club played a top national team?,1
Alisson was happy with the win!,1
Get it right: pronounced “day-vees”. For the love of god: could the English speaking TV commentators from the UK please understand that #19 from Canada is Alphonso Davies: pronounced “Day-vees” And NOT Davis : pronounced “Day-vis”,1
"Like hero, Like Son",1
Argentina players celebrating their win over Mexico in the locker room,1
Moroccan players celebrate post-Belgium win,1
Achraf Hakimi celebrating with his mother after Morocco's win against Belgium is everything ❤️🇲🇦,1
Moroccan fans celebrating their win in Brussels Belgium,1
Tunisia and Australia won just two in their World Cup histories. Who will win the third?,1
"ESPxGER, full match: Germany salvaged its World Cup hope with a goal from Niclas Fullkrug to deny Alvaro Morata's earlier goal, as Germany's chance to progress remain on hand while Spain's fate might be decided after the meeting with Japan.",1
A Must WIN Game FOR England USA can keep James Cordon our gift to you for Meghan Markle,1
"JPNxCRC, full match: Costa Rica's shocked Japan by gaining an emotional 1-0 win for the first time ever as Costa Rica once again proved why they are the most paranoid team of Central America. For Japan, any chance to progress will depend on how they perform against Spain.",1
"Almoez Ali, Qatar's emerging top striker, is from Sudan. Like Akram Afif, Almoez Ali is also one of the top celebrities in his birth country. And Sudanese are cheering Qatar for this reason.",1
Wales has a unique World Cup group stage record: it has drawn in every group stage match in the history. Can Wales finally gain the first group stage win against Iran?,1
Ronaldo’s Goal Damm I got super excited for this moment!!!,1
Congratulations Brazil Fans!!! Your team brought you the victory you desired!!!,1
"QATxSEN, full match: hosts and Asian champions Qatar bowed to the African champions despite scoring the first-ever World Cup goal. This made Qatar the first hosts to lose two games in a row, while Senegal salvaged its hope to reach the knockout phase.",1
"Moments of the day. Day 8, Sabiri’s free kick & Moroccos win over Belgium",1
"Senegal has brought joys to Africa, the first African win in the 2022 World Cup.",1
Messi shows good sportsmanship and is happy for Ronaldo's record breaking goal!,1
"Why does security confiscate ""Women Life Freedom"" shirt?!",1
"which is your fav team to win the world cup,?",1
Good win for the Croatians,1
"When Qatar met Ecuador in 2018, Felix Sanchez Bas had already been coach of Qatar for a year. Qatar won 4-3, but this proved to be nothing four years later as it was a friendly.",1
Safe to say Pep Guardiola is the reason why we think this guy is so good.,1
